escenario,replica,HR_D,lo_D,hi_D,HR_B,HR_silencio
fase: compra degradada en tardia,13,0.9382301811360155,0.7346131368010952,1.1982849593838196,0.7451526657252218,2.2200622082146255
fase: compra degradada en tardia,14,0.9667473235108017,0.754537217698056,1.2386405409750099,0.7310657357293393,2.3960593536116908
fase: compra degradada en tardia,15,1.0742586808891992,0.8364003636179217,1.379759937542278,0.7490094610943523,2.201796606391429
fase: compra degradada en tardia,16,0.9356777897671766,0.7294845605985657,1.2001527839673787,0.7578615126176556,2.342242655915805
fase: compra degradada en tardia,17,1.0363537718413882,0.8107550567812035,1.3247270324454083,0.7512039404308388,2.2812449631953187
fase: compra degradada en tardia,18,1.0724896306063068,0.8330169030610115,1.3808051235591883,0.7944481502636245,2.317758052850819
fase: compra degradada en tardia,19,0.983513301913267,0.7694882151253528,1.2570672247173535,0.746743252231423,2.2122141760023606
fase: compra degradada en tardia,20,0.9584406849433369,0.7556295511464207,1.2156863706044378,0.7140201613765231,2.2000646069653764
postura: venta degradada en alcista,1,0.9854566173095981,0.7328769333686277,1.325085700453902,0.7842153519278875,2.0310862580883233
postura: venta degradada en alcista,2,0.7765075613354991,0.5822823700439914,1.0355182018745475,0.7290860608445925,2.090973813957653
postura: venta degradada en alcista,3,0.8402661647365831,0.6270041681395812,1.1260646475382747,0.7498842849744466,2.106076876613728
postura: venta degradada en alcista,4,0.9305251141112374,0.6866880587086117,1.2609466219932572,0.7893879086776849,2.1668714071908175
postura: venta degradada en alcista,5,0.9722959974259077,0.7131912853712398,1.3255342935357792,0.7874548305884287,2.2712793638093927
postura: venta degradada en alcista,6,0.8129401377760431,0.6072800063598701,1.088248683780483,0.7332854219989753,1.9692072329273798
postura: venta degradada en alcista,7,0.9191989972056029,0.6807866286724539,1.2411036892886813,0.7750161818805332,2.1598899592385172
postura: venta degradada en alcista,8,1.0355982128987034,0.7611844560346263,1.4089405663194492,0.8052349272972191,2.2857091728177803
postura: venta degradada en alcista,9,0.8454256752087989,0.6314011074833653,1.1319976538385845,0.7387335201129059,2.061245408823376
postura: venta degradada en alcista,10,1.0480354300643404,0.7759535954157585,1.4155205532382802,0.7863197118843402,2.0659305381419846
postura: venta degradada en alcista,11,0.9993343453391919,0.7385206684985804,1.3522561742311359,0.7845331548103268,2.0576573083302954
postura: venta degradada en alcista,12,0.8643889454466201,0.6353385286800902,1.1760159588661419,0.801379703780563,2.15686728424267
postura: venta degradada en alcista,13,0.797201404902915,0.5999013275365155,1.0593910211683892,0.7349780211234825,2.0577597441768978
postura: venta degradada en alcista,14,0.8909868589780767,0.6611715709331636,1.200683177819012,0.783541493694686,2.12079075441597
postura: venta degradada en alcista,15,0.8295721250096093,0.6186088649906921,1.1124798714342925,0.7301389437488283,2.0594498344097802
postura: venta degradada en alcista,16,0.9561089711772819,0.710566451113875,1.2865008801536848,0.7682278470290732,2.129704209812464
postura: venta degradada en alcista,17,0.9414168684590645,0.6976888009547303,1.2702880123724059,0.7539187824210685,1.9896046372469671
postura: venta degradada en alcista,18,1.0013809313086126,0.7408243015322579,1.353578395733608,0.7786946750318365,2.185952914957647
