fecha,A,AA,AAC,AACG,AACI,AACQ,AACT,AADI,AAGR,AAIC,AAL,AAM,AAMC,AAME,AAN,AAOI,AAON,AAP,AAPL,AAQC,GME,AMC,TSLA,RDDT,NVDA,TWTR,NOK,PLTR,MSFT,AMD,BBBY,INTC,NFLX,HOOD,SPCE,SNDL,NIO,RKT,BABA
2023-12-07,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,285,0,1296,12,283,0,156,0,2,28,111,221,0,34,29,89,0,3,7,3,28
2023-12-08,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,220,0,798,9,253,0,120,0,0,30,95,122,0,15,14,72,5,1,14,0,20
2023-12-09,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,82,0,325,6,68,0,42,0,1,7,50,24,0,6,12,88,0,1,1,0,17
2023-12-10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,108,0,256,26,144,0,49,0,2,12,40,35,0,6,8,37,0,0,2,0,8
2023-12-11,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,207,0,334,18,223,0,116,0,5,24,140,78,0,32,25,86,0,0,2,1,28
2023-12-12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,156,0,408,21,176,0,84,0,4,10,50,120,0,16,18,108,1,0,6,3,12
2023-12-13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,26,0,3,166,0,452,22,528,0,111,0,0,6,81,38,0,8,30,77,4,0,10,0,17
2023-12-14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,461,12,378,0,145,0,1,22,193,40,0,34,33,95,9,1,3,14,20
2023-12-15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,309,0,298,9,439,0,191,0,2,46,128,55,0,82,36,100,4,0,14,7,50
2023-12-16,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,105,0,215,13,89,0,61,0,2,39,37,29,0,31,2,65,2,3,8,1,10
2023-12-17,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,73,0,260,6,196,0,55,0,1,36,41,30,0,17,11,59,0,1,19,8,23
2023-12-18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,186,0,376,20,356,0,206,0,0,32,84,40,0,30,23,64,4,2,47,10,21
2023-12-19,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,184,0,313,12,441,0,347,0,5,11,131,110,0,24,300,112,5,0,35,16,21
2023-12-20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,141,0,457,32,320,0,235,0,2,12,68,155,0,37,80,132,1,0,40,20,29
2023-12-21,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,239,0,304,19,314,0,95,0,1,18,54,86,0,47,28,69,2,0,4,15,18
2023-12-22,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,199,0,221,18,226,0,171,0,1,21,74,49,0,23,12,87,3,1,24,3,30
2023-12-23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,205,46,64,0,60,0,0,7,99,13,0,9,21,43,0,0,6,0,19
2023-12-24,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,167,40,126,0,82,0,2,17,76,23,0,22,40,74,0,0,3,16,17
